PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
26,6,16,0,0,5,9,3,5
26,10,10,1,0,6,8,4,3
12,7,2,2,0,0,5,2,6
16,4,5,0,0,3,6,1,2
25,6,5,2,0,8,7,3,1
19,2,8,2,0,5,6,2,1
18,6,6,0,0,2,6,4,2
11,5,3,0,0,4,3,1,5
13,2,2,0,0,0,5,3,3
15,3,2,2,0,1,6,2,1
19,3,6,1,0,2,7,3,3
9,2,3,1,0,2,3,1,2
17,0,5,0,0,2,6,3,3
10,2,7,1,0,2,3,2,0
19,3,6,0,0,2,6,5,0
18,2,6,1,0,5,5,3,3
27,1,6,1,0,4,10,3,0
20,6,7,0,1,0,7,6,2
19,3,5,3,0,3,7,2,1
17,4,4,2,0,0,7,3,4
20,1,6,2,1,12,4,0,1
7,2,3,0,0,2,2,1,4
23,8,3,2,0,2,8,5,1
16,7,6,0,0,0,7,2,6
26,4,8,3,1,5,8,5,4
12,9,4,1,1,0,6,0,0
